"name","essround","edition","cntry","proddate","idno","psu","samppoin","stratify","prob","trrtort","agea","gndr","hinctnta","eduyrs","rlgdnm","rlgblg","lrscale"
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1804,1033003,NA,"7       ",0.001578614713,3,57,2,4,14,5,1,5
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1805,1033003,NA,"7       ",0.000394653678,3,55,2,3,12,5,1,5
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1806,1033003,NA,"7       ",0.000394653678,3,18,2,NA,12,5,1,5
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1807,1033003,NA,"7       ",0.000526204378,4,80,2,4,10,5,1,6
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1808,1063314,NA,"9       ",0.000439757073,2,64,1,10,12,5,1,9
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1809,1052843,NA,"6       ",0.001014676572,2,39,1,8,15,5,1,8
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",181,1044033,NA,"10      ",0.00015342955,4,17,2,NA,12,5,1,9
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1810,1052843,NA,"6       ",0.000676450371,4,63,1,NA,NA,5,1,8
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1811,1033003,NA,"7       ",0.001578614713,NA,81,2,3,NA,5,1,6
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1812,1033003,NA,"7       ",0.000315722943,2,64,1,4,12,5,1,7
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1813,1033003,NA,"7       ",0.000526204378,2,70,2,3,8,5,1,5
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1814,1052843,NA,"6       ",0.000676450371,4,28,2,4,17,5,1,5
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1815,1052843,NA,"6       ",0.000405870629,3,55,2,9,12,5,1,6
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1816,1052843,NA,"6       ",0.000507338286,2,18,1,NA,12,5,1,9
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1817,1052843,NA,"6       ",0.002029353144,3,70,2,4,17,5,1,3
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1818,1052843,NA,"6       ",0.001014676572,4,37,2,NA,12,5,1,10
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1819,1052843,NA,"6       ",0.001014676572,2,55,1,4,15,5,1,10
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",182,1032003,NA,"11      ",0.000687944286,NA,82,2,1,10,5,1,NA
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1820,1052843,NA,"6       ",0.001014676572,4,31,2,9,16,5,1,8
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1821,1052843,NA,"6       ",0.000676450371,3,19,1,NA,12,5,1,10
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1822,1052843,NA,"6       ",0.0003382262,2,26,1,10,12,5,1,10
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1823,1052843,NA,"6       ",0.000507338286,2,56,1,8,15,5,1,8
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1824,1052843,NA,"6       ",0.002029353144,5,48,2,NA,20,5,1,6
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1825,1063314,NA,"9       ",0.000769575647,4,43,2,2,10,5,1,9
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1826,1063314,NA,"9       ",0.000769575647,5,41,1,8,14,5,1,9
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1827,1063314,NA,"9       ",0.000439757073,NA,44,2,3,14,5,1,9
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1828,1052843,NA,"6       ",0.001014676572,2,31,1,7,12,5,1,5
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1829,1052843,NA,"6       ",0.000507338286,4,56,1,8,12,5,1,6
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",183,1032003,NA,"11      ",0.000458629065,5,NA,1,NA,11,5,1,10
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1830,1052843,NA,"6       ",0.000507338286,4,52,2,6,16,5,1,9
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1831,1052843,NA,"6       ",0.001014676572,4,40,2,7,15,5,1,3
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1832,1052843,NA,"6       ",0.000507338286,2,46,1,5,12,5,1,8
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1833,1069005,NA,"7       ",0.000623807427,4,49,1,7,14,5,1,9
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1834,1009001,NA,"8       ",0.000334146173,2,51,1,10,16,5,1,6
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1835,1063314,NA,"9       ",0.000513051458,3,35,2,5,14,5,1,9
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1836,1063314,NA,"9       ",0.001539151294,4,27,2,1,12,5,1,9
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1837,1069005,NA,"7       ",0.001247614854,3,NA,2,NA,12,5,1,8
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1838,1069005,NA,"7       ",0.000249522971,5,NA,1,NA,NA,5,1,10
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1839,1069005,NA,"7       ",0.000311903713,4,53,1,9,12,5,1,9
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",184,1032003,NA,"11      ",0.000458629065,5,28,1,9,12,5,1,10
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1840,1069005,NA,"7       ",0.001247614854,5,72,2,NA,8,5,1,8
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1841,1063314,NA,"9       ",0.000513051458,4,48,1,5,12,5,1,9
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1842,1063314,NA,"9       ",0.003078302589,NA,NA,1,2,16,5,1,9
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1843,1063314,NA,"9       ",0.000769575647,4,44,2,2,13,5,1,7
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1844,1063314,NA,"9       ",0.001026099837,5,40,1,3,14,5,1,9
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1845,1063314,NA,"9       ",0.001026099837,4,50,2,NA,13,5,1,10
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1846,1063314,NA,"9       ",0.001026099837,4,62,1,6,12,5,1,8
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1847,1069005,NA,"7       ",0.000207936225,3,44,2,NA,12,5,1,8
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1848,1072042,NA,"10      ",0.00036965192,3,67,2,6,14,5,1,8
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1849,1069005,NA,"7       ",0.000249522971,5,58,1,2,11,5,1,5
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",185,1032003,NA,"11      ",0.000458629065,3,15,2,NA,9,5,1,7
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1850,1069005,NA,"7       ",0.000623807427,1,65,2,4,10,5,1,10
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1851,1069005,NA,"7       ",0.000623807427,1,39,2,3,12,5,1,7
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1852,1060732,NA,"6       ",0.000774596847,2,59,1,3,17,NA,1,5
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1853,1072042,NA,"10      ",0.000554478435,2,24,2,5,16,5,1,7
