"","cntry","idno","psu","stratify","prob","agea","gndr","mnrgtjb","wmcpwrk"
"1654","FR",816,128218,"2                             ",0.000135145238,64,2,5,4
"1655","FR",820,128218,"2                             ",0.000135145238,78,2,1,1
"1656","FR",823,128351,"2                             ",4.5048296e-05,63,2,5,2
"1657","FR",825,128351,"2                             ",6.7572442e-05,54,1,5,5
"1658","FR",826,128351,"2                             ",0.000135144885,21,2,3,3
"1659","FR",827,128351,"2                             ",6.7572442e-05,84,1,2,2
"1660","FR",828,128351,"2                             ",0.000135144885,47,2,5,2
"1661","FR",832,128351,"2                             ",6.7572442e-05,38,2,5,3
"1662","FR",836,128351,"2                             ",4.5048296e-05,51,2,3,2
"1663","FR",840,128351,"2                             ",0.000135144885,81,1,5,3
"1664","FR",842,129019,"2                             ",2.6503204e-05,44,2,4,3
"1665","FR",844,129019,"2                             ",7.9509609e-05,70,2,3,3
"1666","FR",847,129019,"2                             ",3.9754805e-05,56,1,4,2
"1667","FR",849,129019,"2                             ",1.9877402e-05,17,1,5,1
"1668","FR",850,129019,"2                             ",7.9509609e-05,80,2,2,5
"1669","FR",853,129081,"2                             ",6.7571457e-05,45,2,5,5
"1670","FR",855,129081,"2                             ",6.7571457e-05,48,1,4,5
"1671","FR",859,129081,"2                             ",6.7571457e-05,65,1,3,3
"1672","FR",860,129081,"2                             ",0.000135142913,54,2,4,2
"1673","FR",861,129081,"2                             ",6.7571457e-05,80,1,4,3
"1674","FR",862,129081,"2                             ",6.7571457e-05,49,2,4,1
"1675","FR",864,129081,"2                             ",6.7571457e-05,65,2,4,2
"1676","FR",867,129081,"2                             ",6.7571457e-05,53,2,5,1
"1677","FR",869,129081,"2                             ",2.7028583e-05,16,1,4,4
"1678","FR",870,129081,"2                             ",6.7571457e-05,60,2,4,1
"1679","FR",871,129081,"2                             ",0.000135142913,51,1,2,2
"1680","FR",872,129160,"2                             ",6.7571348e-05,75,1,4,1
"1681","FR",877,129160,"2                             ",6.7571348e-05,31,2,2,2
"1682","FR",878,129160,"2                             ",6.7571348e-05,51,1,4,2
"1683","FR",880,129160,"2                             ",6.7571348e-05,45,1,4,3
"1684","FR",881,129160,"2                             ",6.7571348e-05,53,2,5,2
"1685","FR",882,129160,"2                             ",6.7571348e-05,39,1,5,3
"1686","FR",885,129160,"2                             ",0.000135142695,38,1,4,4
"1687","FR",886,129160,"2                             ",6.7571348e-05,39,2,5,4
"1688","FR",888,129160,"2                             ",0.000135142695,69,2,2,2
"1689","FR",889,129160,"2                             ",6.7571348e-05,28,2,5,4
"1690","FR",89,106027,"2                             ",3.3801273e-05,49,2,4,4
"1691","FR",890,129160,"2                             ",6.7571348e-05,41,1,2,2
"1692","FR",90,106027,"2                             ",4.5068366e-05,15,1,5,2
"1693","FR",903,131080,"2                             ",0.000135137528,71,1,4,4
"1694","FR",905,131080,"2                             ",6.7568764e-05,68,1,5,4
"1695","FR",908,131080,"2                             ",4.5045844e-05,44,1,4,2
"1696","FR",91,106027,"2                             ",6.7602547e-05,70,1,4,1
"1697","FR",910,131080,"2                             ",0.000135137528,51,1,4,3
"1698","FR",913,131080,"2                             ",0.000135137528,69,1,3,2
"1699","FR",914,131080,"2                             ",6.7568764e-05,74,1,3,2
"1700","FR",916,131080,"2                             ",0.000135137528,78,2,3,3
"1701","FR",918,131080,"2                             ",0.000135137528,33,1,5,4
"1702","FR",924,131116,"2                             ",6.7568712e-05,41,2,5,3
"1703","FR",925,131116,"2                             ",0.000135137424,81,2,1,NA
"1704","FR",926,131116,"2                             ",4.5045809e-05,57,2,3,2
